product_id,date,rating,is_photo,review_text,purchase_option,satisfaction,helpful_indicator,is_positive,gender,height,weight,Issue_Pilling,Issue_After_Wear,Mixed_Sentiment_But,Issue_Size,Issue_Touch,Meta_Review_Length,Meta_Negative_Adverb
2723764,2026-04-17,1,0,내 체형정보를 입력해주세요 (필수)내 체형정보를 입력내 체형정보를 입력해주세요 (필수)해주세요 (필수),LIGHT KHAKI · M,사이즈 많이 큼 · 색감 매우 어두움 · 신축성 매우 강함 · 퀄리티 매우 좋음,0,0,male,175,65,0,0,0,0,0,57,0
2723764,2026-04-17,1,0,내 체형정보를 입력해주세요 (필수)내 체형정보를 입력해주세요 (필수)내 체형정보를 입력해주세요 (필수),BLACK · M,사이즈 많이 큼 · 색감 매우 어두움 · 신축성 매우 강함 · 퀄리티 매우 좋음,0,0,male,175,65,0,0,0,0,0,57,0
2723764,2025-12-31,1,1,만족합니다. 부드럽고 약같 두꺼워서 따뜻해서 좋아요,NAVY · L,사이즈 조금 큼 · 색감 어두움 · 신축성 강함 · 퀄리티 좋음,0,0,male,188,75,0,0,0,0,0,28,0
2723764,2025-03-09,1,0,한달후기 꾸준히 드툼하고 좋아오 너무 이쁘고 색감도 굳굳 지퍼벌써고장남,DEEP MOCHA · L,정보없음,0,0,male,180,75,0,0,0,0,0,39,1
2723764,2024-12-12,1,1,한달후기 싼맛으로 입는거같아여. 돈더주고 재질좋은거 살래요,LIGHT KHAKI · L,정보없음,0,0,male,174,70,0,0,0,0,0,32,0
2723764,2024-10-27,1,1,그냥 싼마이로 입어야할듯... 보풀이 심해요. 돈 더주고 다른거ㅜ살듯,LIGHT KHAKI · L,정보없음,0,0,male,174,70,1,0,0,0,0,38,0
2723764,2024-08-05,1,0,가격 대비 매우 만족합니다. 집업 스타일이 편하네요. ㅎㅎ,BLACK · L,정보없음,0,0,male,174,78,0,0,0,0,0,32,0
2723764,2024-05-17,1,0,기장이 생각보다 길고 재질은 부드러워요 옷이 무거워요,NAVY · M,정보없음,0,0,male,165,60,0,0,0,0,0,29,0
2723764,2024-04-06,1,1,봄옷 대비로 산거인데 두께감이 좀 있습니다 쌀쌀할때만 입을거같아요,BLACK · L,정보없음,0,0,male,174,70,0,0,0,0,0,36,0
2723764,2024-03-09,1,0,보풀 잘 안생기는 원단? 그런거 없습니다 두번입고 보풀 왕창 생겨서 버렸어요 비추,BLACK · L,정보없음,0,0,male,180,82,1,0,0,0,0,45,0
2723764,2024-01-16,1,1,참 좋다 참좋아요 가격이 싸다 배송이 빠르다 좋다,NAVY · L,정보없음,1,0,male,176,70,0,0,0,0,0,27,0
2723764,2023-12-23,1,0,수아레 하프집업 색상이랑 원단도 좋고 가성비까지 챙긴 아이템입니다,OATMEAL · L,정보없음,0,0,male,175,75,0,0,0,0,0,36,0
2723764,2023-11-25,1,0,카라 오른쪽마감 깔끔하지않고 입던옷준거같음 팔안감 마무리도 ㅈ같음 걍반품하고싶으나 택뜯어서 넘어가는데 다신 독보집브랜드안삼,BLACK · M,정보없음,0,0,male,174,57,0,0,0,0,0,68,0
2723764,2023-10-18,1,0,옷 짜임이 제대로 되지 않은 제품을 왜 파시나요? 어이가 없네요,BLACK · L,정보없음,0,0,male,181,78,0,0,0,0,0,35,0
2723764,2023-09-20,1,0,배송기사님이 택배 잃어버려서 며칠간 애먹다 겨우 받았네요 기사님은 어디로 잘못 배달했는지 기억도 못하시고 고객센터는 기다리라고만 하고 배송기사님이 택배 잃어버려서 며칠간 애먹다 겨우 받았네요 기사님은 어디로 잘못 배달했는지 기억도 못하시고 고객센터는 기다리라고만 하고,LIGHT KHAKI · M,정보없음,0,0,male,176,56,0,0,0,0,0,149,0
2723764,2023-02-19,1,0,옷은 맘에 드는데 상품이 다른 상품이 욌어요 ;; 선물했던거인데.. 수아레 고객센터측 대처가 너무 아쉽네요,OATMEAL · M,정보없음,0,0,male,168,60,0,0,0,0,0,59,1
2723764,2023-01-30,1,0,지퍼불량이었는데 그냥 입어요! 구매안할래여 다음에는,OATMEAL · L,정보없음,0,0,male,177,73,0,0,0,0,0,28,0
2723764,2022-12-12,1,0,배송이 너무 늦었습니다 시킨디 좀 오래 됐어여 겨울이 지나고 받았네요,OATMEAL · L,정보없음,0,0,male,171,74,0,0,0,0,0,38,1
2723764,2022-12-11,1,0,구매 비추천합니다. !!돈만 날렸어요 ㅠㅠ 보푸라기도 바로 생기고 지퍼는 잘 안올라갑니다. 아쉬운 부분이 많았어요.,NAVY · L,정보없음,0,0,male,188,84,0,0,0,0,0,64,0
2723764,2022-12-06,1,0,"옷은 이쁜데 두번입고 보풀 너무 심하게 생겨서 안입게 되네요 재질 너무 아쉽,,",BLACK · L,정보없음,1,0,male,177,72,1,0,0,0,0,44,1
2723764,2022-11-26,1,0,두께 두껍고 괜찮은데 2-3번 입었더니 보풀 장난아니에오 진짜 2-3년 입은옷같아요...,BLACK · L,정보없음,0,0,male,176,72,1,0,1,0,0,49,1
2723764,2025-11-28,2,0,옷이 무거워요 사이즈도 더 작은것이 있었음 좋겠어요,MELANGE · M,사이즈 조금 큼 · 색감 화면과 비슷 · 신축성 적당함 · 퀄리티 보통,0,0,male,161,75,0,0,0,0,0,28,0
2723764,2025-10-13,2,1,급하게 필요해서 후기보고 샀는데..생각보다 퀄리티가 좋지는 않네요..,NAVY · XL,정보없음,0,0,male,184,95,0,0,0,0,0,38,0
2723764,2025-04-29,2,0,무겁고 두꺼워요 그냥 저냥 그 값만 합니다 재구매는 안할듯,BLACK · M,정보없음,0,0,female,164,60,0,0,0,0,0,32,0
2723764,2025-02-18,2,1,택배 상태에 굉장히 실망했습니다. 봉투를 뜯었더니 포장비닐이 찢어져 있고 같이 옷과 포장된 종이가 갈갈이 찢어져 있고 상품설명지는 꾸겨져 있었습니다. 옷 자체에는 문제가 없어서 그냥 입겠지만 소비자의 입장에서는 반품상품이거나 수아레의 포장 능력이 미흡하다고 밖에 생각이 안 드네요.,D.GREYSH BLUE · M,정보없음,0,0,male,166,61,0,0,0,0,0,157,0
2723764,2025-01-25,2,1,실리카겔 다터져와가지고 집에 난리 났습니다^^털실 많이 나오는거는 알겠는데,OATMEAL · L,정보없음,0,0,male,185,65,0,0,0,0,0,41,0
2723764,2025-01-10,2,1,한달후기 생각보다 두껍고 보풀생기는 재질이라 가성비만 잇음,NAVY · L,정보없음,0,0,male,170,80,1,0,0,0,0,32,0
2723764,2024-04-11,2,0,바자다가마나아라바바자다가마나미다즈자바바,LIGHT KHAKI · M,정보없음,0,0,male,177,60,0,0,0,0,0,21,0
2723764,2024-02-20,2,0,사이즈가 너무 크네요 같은 라지사이즈인데도 너무 커서 안맞습니다,BLACK · L,정보없음,0,0,male,168,66,0,0,0,1,0,35,1
2723764,2024-02-14,2,0,마감처리랑 보풀이 아쉽습니다..정가에 구매하시는것은 비추,LIGHT KHAKI · L,정보없음,0,0,male,177,74,1,0,0,0,0,31,0
2723764,2024-02-12,2,1,실밥 여기저기 다 튀어나와있어서 직접 다 잘랐네요. 마감 진짜 별로고 옷은 예뻐요,BLACK · L,정보없음,0,0,male,176,69,0,0,0,0,0,45,1
2723764,2024-02-12,2,0,실밥 여기저기 정리 하나도 안돼있고 마감이 진짜 최악이었는데 귀찮아서 반품 안했어요,BLACK · L,정보없음,0,0,male,176,69,0,0,0,0,0,46,1
2723764,2024-01-20,2,0,투웨이라 편하게입기 좋고 도톰하고 사이즈는 정사이즈네요,NAVY · L,정보없음,0,0,male,169,75,0,0,0,0,0,30,0
2723764,2024-01-17,2,1,전투용으로 입고다닐라고 구매했습니다. 약간 까끌까끌하지만 원래그런거라 괜찮아요,OATMEAL · L,정보없음,0,0,male,176,66,0,0,0,0,0,43,0
